id;device_id;status;created;modified;user_id
1;30ce1afa75aa1120;OPEN;1642395730;1642395792;2
2;4a30a3edb362a4f4;INACTIVE;1642395735;1642395792;2
3;6b2fc4262c93ac9d;OPEN;1642395740;1642395806;2
4;9b381d745e75f90d;DUPLICATE;1642395748;1642395810;2
5;c4d5918f67c41a75;ACTIVE;1642395753;1642395813;2
6;87910148c651403a;INACTIVE;1642395757;1642395817;2
7;00bbbdafa3da02a4;CLOSE;1642395757;1642395821;2
8;0ad90a8563f55bf8;OPEN;1642395783;1642395825;2
9;01e8f8582240be10;OPEN;1642395788;1642395828;2
10;4f2fe5b91ffcd262;ACTIVE;1642395792;1642395832;2
